original_filename,new_kebab_case_name,description_1_to_3_words,category
image81.png,processor-chip,Processor chip,Infrastructure
image82.png,monitor-panel,Monitor panel,Infrastructure
image83.png,monitor-shield,Monitor with shield,Security
image84.png,mouse-device,Mouse device,Infrastructure
image85.png,laptop-alert,Laptop alert,Infrastructure
image86.png,laptop-media,Laptop media player,Infrastructure
image87.png,ticket-shield,Ticket with shield,Security
image88.png,circuit-board,Circuit board,Infrastructure
image90.png,download-box,Download to device,Arrows & Navigation
image91.png,tablet-phone,Tablet and phone,Infrastructure
image92.png,laptop-screen,Laptop screen,Infrastructure
image93.png,power-cable,Power cable,Infrastructure
image94.png,server-dotted,Server dotted border,Infrastructure
image95.png,disk-storage,Disk storage,Data & Analytics
image96.png,database-stack,Database stack,Data & Analytics
image98.png,laptop-shield,Laptop with shield,Security
image99.png,tablet-device,Tablet device,Infrastructure
image100.png,phone-chip,Phone with chip,Infrastructure
image101.png,server-dotted-2,Server dotted border,Infrastructure
image102.png,server-dotted-play,Server dotted play,Infrastructure
image103.png,laptop-analytics,Laptop analytics gear,Data & Analytics
image104.png,app-shield-dotted,App shield dotted,Security
image105.png,cloud-upload,Cloud upload,Cloud
image106.png,database-red,Database storage,Data & Analytics
image108.png,smartwatch,Smartwatch device,Infrastructure
image110.png,desktop-shield,Desktop with shield,Security
image112.png,cursor-click,Cursor click,Arrows & Navigation
image113.png,tablet-shield,Tablet with shield,Security
image114.png,server-shield,Server with shield,Security
image115.png,desktop-tablet,Desktop and tablet,Infrastructure
image116.png,cloud-gear,Cloud settings,Cloud
image117.png,cloud-search,Cloud search,Cloud
image118.png,touch-interface,Touch interface,Arrows & Navigation
image119.png,tablet-paint,Tablet with paint,Development & DevOps
image120.png,desktop-paint,Desktop with paint,Development & DevOps
image121.png,cloud-sync,Cloud sync,Cloud
image123.png,mobile-share,Mobile share,Communication
image124.png,cloud-paint,Cloud with paint,Cloud
image125.png,dashboard-analytics,Dashboard analytics,Data & Analytics
image126.png,disk-oval,Disk oval,Data & Analytics
image128.png,brain-network,Brain network,AI & Automation
image129.png,app-refresh,App refresh,Development & DevOps
image130.png,network-diagram,Network diagram,Infrastructure
image131.png,cloud-shield,Cloud with shield,Security
image132.png,bug-icon,Bug testing,Development & DevOps
image133.png,cloud-lock,Cloud lock,Security
image134.png,server-rack,Server rack,Infrastructure
image136.png,cloud-plain,Cloud plain,Cloud
image137.png,binary-code,Binary code,Development & DevOps
image138.png,app-layers,App layers,Development & DevOps
image139.png,hexagon-code,Hexagon code,Development & DevOps
image140.png,cloud-upload-arrow,Cloud upload arrow,Cloud
image141.png,container-orchestration,Container orchestration,Cloud
image142.png,code-brackets,Code brackets,Development & DevOps
image143.png,hexagon-paint,Hexagon with paint,Development & DevOps
image144.png,hexagon-nodes,Hexagon nodes,Infrastructure
image145.png,cloud-underline,Cloud underline,Cloud
image146.png,hexagon-lock,Hexagon lock,Security
image147.png,triangle-check,Triangle checkmark,Miscellaneous
image148.png,hexagon-grid,Hexagon grid,Infrastructure
image149.png,chain-link,Chain link,Infrastructure
image150.png,cloud-dotted,Cloud dotted circle,Cloud
image151.png,firewall-shield,Firewall shield,Security
image152.png,vulnerability-scan,Vulnerability scan,Security
image153.png,shield-alert,Shield alert,Security
image154.png,workflow-nodes,Workflow nodes,Development & DevOps
image155.png,hexagon-app,Hexagon app,Development & DevOps
image156.png,hexagon-shield,Hexagon with shield,Security
image157.png,hexagon-circle,Hexagon in circle,Miscellaneous
image158.png,browser-window,Browser window,Development & DevOps
image159.png,hexagon-lightning,Hexagon lightning,Infrastructure
image160.png,code-editor,Code editor,Development & DevOps
image161.png,cloud-chat,Cloud chat,Communication
image162.png,hexagon-empty,Hexagon empty,Miscellaneous
image163.png,shield-blocked,Shield blocked,Security
image164.png,person-admin,Person admin,People & Organization
image165.png,eye-alert,Eye alert,Security
image166.png,checkmark-circle,Checkmark circle,Miscellaneous
image167.png,save-disk,Save disk,Miscellaneous
image168.png,network-hub,Network hub,Infrastructure
image169.png,fullscreen-arrows,Fullscreen arrows,Arrows & Navigation
image170.png,cloud-full,Cloud full,Cloud
image171.png,robot-bot,Robot bot,AI & Automation
image172.png,terminal-prompt,Terminal prompt,Development & DevOps
image173.png,task-checklist,Task checklist,Miscellaneous
image174.png,drag-drop,Drag and drop,Arrows & Navigation
image175.png,certificate-badge,Certificate badge,Business & Finance
image176.png,key-password,Key password,Security
image177.png,pyramid-dotted,Pyramid dotted,Miscellaneous
image178.png,fast-forward,Fast forward,Arrows & Navigation
image179.png,upload-share,Upload share,Arrows & Navigation
image180.png,diamond-shape,Diamond shape,Miscellaneous
image181.png,cycle-arrow,Cycle arrow,Arrows & Navigation
image182.png,document-text,Document text,Miscellaneous
image184.png,layout-blocks,Layout blocks,Development & DevOps
image185.png,search-document,Search document,Miscellaneous
image186.png,gear-cycle,Gear cycle,AI & Automation
image187.png,email-envelope,Email envelope,Communication
image188.png,crop-tool,Crop tool,Miscellaneous
image189.png,at-symbol,At symbol,Communication
image190.png,disc-media,Disc media,Miscellaneous
image191.png,chip-error,Chip error,Infrastructure
image192.png,microphone,Microphone audio,Communication
image193.png,bar-chart,Bar chart,Data & Analytics
image194.png,wifi-signal,WiFi signal,Infrastructure
image195.png,archive-box,Archive box,Miscellaneous
image196.png,book-open,Book open,Miscellaneous
image197.png,music-notes,Music notes,Miscellaneous
image198.png,gamepad-wifi,Gamepad WiFi,Miscellaneous
image199.png,whiteboard-edit,Whiteboard edit,Miscellaneous
image200.png,download-arrow,Download arrow,Arrows & Navigation
image201.png,book-standing,Book standing,Miscellaneous
image202.png,quote-marks,Quote marks,Communication
image203.png,clipboard-check,Clipboard check,Miscellaneous
image204.png,music-broadcast,Music broadcast,Miscellaneous
image205.png,books-shelf,Books shelf,Miscellaneous
image206.png,bookmark,Bookmark,Miscellaneous
image207.png,eye-view,Eye view,Miscellaneous
image208.png,folder-open,Folder open,Miscellaneous
image209.png,edit-pencil,Edit pencil,Miscellaneous
image210.png,quote-open,Quote open,Communication
image211.png,eye-hidden,Eye hidden,Security
image212.png,grid-layout,Grid layout,Miscellaneous
image213.png,clapperboard,Clapperboard video,Miscellaneous
image214.png,speaker-volume,Speaker volume,Communication
image216.png,chart-bar-down,Chart bar down,Data & Analytics
image217.png,team-exchange,Team exchange,People & Organization
image218.png,checkbox-checked,Checkbox checked,Miscellaneous
image219.png,document-export,Document export,Arrows & Navigation
image220.png,document-blank,Document blank,Miscellaneous
image221.png,speaker-muted,Speaker muted,Communication
image222.png,webinar-screen,Webinar screen,Communication
image223.png,rewind-button,Rewind button,Arrows & Navigation
image224.png,thumbs-up,Thumbs up,Miscellaneous
image225.png,upload-arrow,Upload arrow,Arrows & Navigation
image226.png,document-list,Document list,Miscellaneous
image227.png,play-button,Play button,Arrows & Navigation
image228.png,document-corner,Document corner,Miscellaneous
image229.png,video-chat,Video chat,Communication
image230.png,org-chart,Org chart,People & Organization
image231.png,pause-button,Pause button,Arrows & Navigation
image232.png,notebook-edit,Notebook edit,Miscellaneous
image233.png,document-lines,Document lines,Miscellaneous
image234.png,people-group,People group,People & Organization
image235.png,handshake-heart,Handshake heart,People & Organization
image236.png,fist-raised,Fist raised,People & Organization
image237.png,presentation-chart,Presentation chart,Data & Analytics
image238.png,pen-nib-design,Pen nib design,Development & DevOps
image239.png,video-target,Video target,Communication
image240.png,circle-dotted-node,Circle dotted node,Miscellaneous
image241.png,document-bookmark,Document bookmark,Miscellaneous
image242.png,contact-card,Contact card,People & Organization
image243.png,code-terminal,Code terminal,Development & DevOps
image244.png,laptop-code,Laptop code,Development & DevOps
image245.png,hand-wave,Hand wave,People & Organization
image246.png,headset-support,Headset support,Communication
image247.png,server-key,Server key,Security
image248.png,speech-bubble,Speech bubble,Communication
image249.png,briefcase,Briefcase,Business & Finance
image250.png,ear-listen,Ear listen,Communication
image251.png,hand-stop,Hand stop,People & Organization
image252.png,finger-point,Finger point,Arrows & Navigation
image253.png,meeting-group,Meeting group,People & Organization
image254.png,team-four,Team four people,People & Organization
image255.png,chat-bubble,Chat bubble,Communication
image256.png,mic-blocked,Mic blocked,Communication
image257.png,group-chat,Group chat,Communication
image258.png,person-avatar,Person avatar,People & Organization
image259.png,data-migration,Data migration,Arrows & Navigation
image260.png,person-panel,Person panel,People & Organization
image261.png,video-conference,Video conference,Communication
image262.png,browser-award,Browser award,Miscellaneous
image263.png,browser-snowflake,Browser snowflake,Miscellaneous
image264.png,security-camera,Security camera,Security
image265.png,server-rack-sun,Server rack sun,Infrastructure
image266.png,package-delivery,Package delivery,Business & Finance
image267.png,person-badge,Person badge,People & Organization
image268.png,desktop-chair,Desktop chair,Miscellaneous
image269.png,person-seated,Person seated,People & Organization
image270.png,desk-furniture,Desk furniture,Miscellaneous
image271.png,building-grid,Building grid,Infrastructure
image272.png,office-building,Office building,Infrastructure
image273.png,server-cabinet,Server cabinet,Infrastructure
image274.png,person-network,Person network,People & Organization
image275.png,courthouse,Courthouse building,Miscellaneous
image276.png,data-center-home,Data center home,Infrastructure
image277.png,door-entrance,Door entrance,Miscellaneous
image278.png,network-people,Network people,People & Organization
image279.png,reception-desk,Reception desk,People & Organization
image280.png,factory-building,Factory building,Infrastructure
image281.png,desk-lamp,Desk lamp,Miscellaneous
image282.png,smart-home,Smart home,Infrastructure
image283.png,warehouse,Warehouse storage,Infrastructure
image284.png,delivery-truck,Delivery truck,Business & Finance
image285.png,bank-building,Bank building,Business & Finance
image286.png,cell-tower,Cell tower,Infrastructure
image287.png,rocket-launch,Rocket launch,Miscellaneous
image288.png,person-elevator,Person elevator,People & Organization
image289.png,airplane,Airplane travel,Miscellaneous
image290.png,bicycle,Bicycle transport,Miscellaneous
image291.png,bus-transit,Bus transit,Miscellaneous
image292.png,ambulance,Ambulance vehicle,Miscellaneous
image293.png,capitol-building,Capitol building,Miscellaneous
image294.png,car-vehicle,Car vehicle,Miscellaneous
image295.png,bridge,Bridge structure,Infrastructure
image296.png,lighthouse,Lighthouse beacon,Miscellaneous
image297.png,heart-health,Heart health,Miscellaneous
image298.png,car-wash,Car wash,Miscellaneous
image299.png,clipboard-shield,Clipboard shield,Security
image300.png,satellite,Satellite space,Infrastructure
image301.png,shipping-container,Shipping container,Business & Finance
image302.png,luggage-tag,Luggage tag,Miscellaneous
image303.png,excavator,Excavator machine,Miscellaneous
image304.png,cargo-ship,Cargo ship,Business & Finance
image305.png,jet-fighter,Jet fighter,Miscellaneous
image306.png,traffic-light,Traffic light,Miscellaneous
image307.png,car-front,Car front view,Miscellaneous
image308.png,cloud-pollution,Cloud pollution,Miscellaneous
image310.png,construction-cone,Construction cone,Miscellaneous
image311.png,moon-face,Moon face,Miscellaneous
image312.png,train-tunnel,Train tunnel,Miscellaneous
image313.png,speedometer,Speedometer gauge,Data & Analytics
image314.png,moon-water,Moon water,Miscellaneous
image315.png,city-skyline,City skyline,Miscellaneous
image316.png,crab,Crab animal,Miscellaneous
image317.png,farmhouse,Farmhouse building,Miscellaneous
image318.png,solar-panel,Solar panel,Miscellaneous
image319.png,snowflake,Snowflake winter,Miscellaneous
image320.png,tractor,Tractor farm,Miscellaneous
image321.png,bug-insect,Bug insect,Miscellaneous
image322.png,rainbow,Rainbow arc,Miscellaneous
image323.png,mushroom,Mushroom fungus,Miscellaneous
image324.png,bird,Bird animal,Miscellaneous
image325.png,cactus,Cactus plant,Miscellaneous
image326.png,atom,Atom science,Miscellaneous
image327.png,wind-breeze,Wind breeze,Miscellaneous
image328.png,flask-lab,Flask laboratory,Miscellaneous
image329.png,mountain,Mountain peak,Miscellaneous
image330.png,paw-print,Paw print,Miscellaneous
image331.png,paw-print-2,Paw print,Miscellaneous
image332.png,satellite-dish,Satellite dish,Infrastructure
image333.png,thermometer,Thermometer temp,Miscellaneous
image334.png,heartbeat-pulse,Heartbeat pulse,Miscellaneous
image335.png,beehive,Beehive honey,Miscellaneous
image336.png,thermometer-2,Thermometer temp,Miscellaneous
image337.png,checkbox-check,Checkbox check,Miscellaneous
image338.png,test-tube,Test tube,Miscellaneous
image339.png,arrow-right,Arrow right,Arrows & Navigation
image340.png,warning-triangle,Warning triangle,Miscellaneous
image341.png,tree-nature,Tree nature,Miscellaneous
image342.png,plus-cross,Plus cross,Miscellaneous
image343.png,square-empty,Square empty,Miscellaneous
image344.png,water-drop,Water drop,Miscellaneous
image345.png,wind-turbine,Wind turbine,Miscellaneous
image346.png,location-pin,Location pin,Miscellaneous
image347.png,heart-shape,Heart shape,Miscellaneous
image348.png,minus-square,Minus square,Miscellaneous
image349.png,dollar-sign,Dollar sign,Business & Finance
image350.png,square-dotted,Square dotted,Miscellaneous
image351.png,heart-lightning,Heart lightning,Miscellaneous
image352.png,info-circle,Info circle,Miscellaneous
image353.png,gift-box,Gift box,Miscellaneous
image354.png,power-button,Power button,Miscellaneous
image355.png,stairs-down,Stairs down,Arrows & Navigation
image356.png,fire-extinguisher,Fire extinguisher,Miscellaneous
image357.png,no-smoking,No smoking,Miscellaneous
image358.png,butterfly,Butterfly insect,Miscellaneous
image359.png,trash-can,Trash can,Miscellaneous
image360.png,recycle-arrows,Recycle arrows,Miscellaneous
image361.png,close-x-circle,Close X circle,Miscellaneous
image362.png,lightning-bolt,Lightning bolt,Miscellaneous
image363.png,safety-goggles,Safety goggles,Miscellaneous
image364.png,fire-flame,Fire flame,Miscellaneous
image365.png,no-food,No food,Miscellaneous
image366.png,wheelchair,Wheelchair access,People & Organization
image367.png,no-trash,No trash,Miscellaneous
image368.png,signpost,Signpost direction,Arrows & Navigation
image369.png,checkmark-clock,Checkmark clock,Miscellaneous
image370.png,star-badge,Star badge,Miscellaneous
image371.png,toilet,Toilet restroom,Miscellaneous
image372.png,boxing-glove,Boxing glove,Miscellaneous
image373.png,award-medal,Award medal,Business & Finance
image374.png,battery,Battery power,Miscellaneous
image375.png,no-fire,No fire,Miscellaneous
image376.png,safe-vault,Safe vault,Security
image377.png,clock-search,Clock search,Miscellaneous
image378.png,leaf-recycle,Leaf recycle,Miscellaneous
image379.png,no-wifi,No WiFi,Infrastructure
image380.png,star-shape,Star shape,Miscellaneous
image381.png,apple-fruit,Apple fruit,Miscellaneous
image382.png,binoculars,Binoculars view,Miscellaneous
image383.png,gear-settings,Gear settings,AI & Automation
image384.png,no-cut,No cut,Miscellaneous
image385.png,funnel-filter,Funnel filter,Data & Analytics
image386.png,ruler-triangle,Ruler triangle,Miscellaneous
image387.png,candle,Candle light,Miscellaneous
image388.png,power-plug,Power plug,Infrastructure
image389.png,compass,Compass direction,Arrows & Navigation
image391.png,monitor-dashed,Monitor dashed,Infrastructure
image392.png,bell-notification,Bell notification,Communication
image393.png,magnet,Magnet attract,Miscellaneous
image394.png,monitor-webcam,Monitor webcam,Infrastructure
image395.png,vr-headset,VR headset,Miscellaneous
image396.png,calculator,Calculator device,Business & Finance
image397.png,radio-device,Radio device,Communication
image398.png,equalizer-sliders,Equalizer sliders,Miscellaneous
image399.png,camera-photo,Camera photo,Miscellaneous
image400.png,megaphone,Megaphone announce,Communication
image401.png,flag-banner,Flag banner,Miscellaneous
image402.png,bandage,Bandage medical,Miscellaneous
image403.png,magnifying-glass,Magnifying glass,Miscellaneous
image404.png,suitcase-travel,Suitcase travel,Miscellaneous
image405.png,movie-reel,Movie reel,Miscellaneous
image406.png,globe-web,Globe web,Infrastructure
image407.png,radar-scan,Radar scan,Miscellaneous
image408.png,stethoscope,Stethoscope medical,Miscellaneous
image409.png,first-aid-kit,First aid kit,Miscellaneous
image410.png,robot-arm,Robot arm,AI & Automation
image411.png,game-controller,Game controller,Miscellaneous
image412.png,baseball-cap,Baseball cap,Miscellaneous
image413.png,speed-gauge,Speed gauge,Data & Analytics
image414.png,key-access,Key access,Security
image415.png,drone,Drone device,Miscellaneous
image416.png,hourglass,Hourglass timer,Miscellaneous
image417.png,lightbulb,Lightbulb idea,Miscellaneous
image418.png,graduation-cap,Graduation cap,People & Organization
image419.png,map-open,Map open,Miscellaneous
image420.png,no-entry,No entry,Miscellaneous
image421.png,headphones,Headphones audio,Miscellaneous
image422.png,paint-roller,Paint roller,Miscellaneous
image423.png,backpack,Backpack bag,Miscellaneous
image424.png,tape-measure,Tape measure,Miscellaneous
image425.png,price-tag,Price tag,Business & Finance
image426.png,kite-cross,Kite cross,Miscellaneous
image427.png,running-shoe,Running shoe,Miscellaneous
image428.png,shield-badge,Shield badge,Security
image429.png,stopwatch,Stopwatch timer,Miscellaneous
image430.png,gift-present,Gift present,Miscellaneous
image431.png,pencil-write,Pencil write,Miscellaneous
image432.png,spray-bottle,Spray bottle,Miscellaneous
image433.png,glasses-vision,Glasses vision,Miscellaneous
image434.png,phone-call,Phone call,Communication
image435.png,piggy-bank,Piggy bank,Business & Finance
image436.png,target-goal,Target goal,Business & Finance
image437.png,gears-settings,Gears settings,AI & Automation
image438.png,scales-justice,Scales justice,Business & Finance
image439.png,football,Football sports,Miscellaneous
image440.png,wrench-tool,Wrench tool,Development & DevOps
image441.png,inbox-tray,Inbox tray,Miscellaneous
image442.png,balance-scale,Balance scale,Business & Finance
image443.png,paint-roller-2,Paint roller,Miscellaneous
image444.png,umbrella,Umbrella cover,Miscellaneous
image445.png,shopping-cart,Shopping cart,Business & Finance
image446.png,toolbox,Toolbox case,Development & DevOps
image447.png,roadmap-circle,Roadmap circle,Miscellaneous
image448.png,puzzle-piece,Puzzle piece,Miscellaneous
image449.png,puzzle-gear,Puzzle with gear,Miscellaneous
image450.png,lock-padlock,Lock padlock,Security
image451.png,signal-waves,Signal waves,Communication
image452.png,pencil-edit,Pencil edit,Miscellaneous
image453.png,tshirt,T-shirt clothing,Miscellaneous
image454.png,refresh-cycle,Refresh cycle,Arrows & Navigation
image455.png,chart-decline,Chart decline,Data & Analytics
image456.png,clipboard-stand,Clipboard stand,Miscellaneous
image457.png,undo-redo,Undo redo,Arrows & Navigation
image458.png,pie-chart,Pie chart,Data & Analytics
image459.png,strategy-board,Strategy board,Business & Finance
image460.png,paperclip,Paperclip attach,Miscellaneous
image461.png,bubbles-circles,Bubbles circles,Miscellaneous
image462.png,bar-chart-2,Bar chart,Data & Analytics
image463.png,chevron-right,Chevron right,Arrows & Navigation
image464.png,sort-vertical,Sort vertical,Arrows & Navigation
image465.png,grid-table,Grid table,Data & Analytics
image466.png,pin-flag,Pin flag,Arrows & Navigation
image467.png,chart-lines,Chart lines,Data & Analytics
image468.png,stack-return,Stack return,Arrows & Navigation
image469.png,circles-group,Circles group,Miscellaneous
image470.png,copy-duplicate,Copy duplicate,Miscellaneous
image471.png,chart-search,Chart search,Data & Analytics
image472.png,double-chevron,Double chevron,Arrows & Navigation
image473.png,double-chevron-2,Double chevron,Arrows & Navigation
image474.png,barcode-scan,Barcode scan,Miscellaneous
image475.png,bubbles-search,Bubbles search,Miscellaneous
image476.png,check-return,Check return,Arrows & Navigation
image477.png,pie-chart-half,Pie chart half,Data & Analytics
image478.png,chart-trend,Chart trend,Data & Analytics
image479.png,infinity-loop,Infinity loop,Development & DevOps
image480.png,data-flow,Data flow,Data & Analytics
image481.png,qr-code,QR code,Miscellaneous
image482.png,yen-currency,Yen currency,Business & Finance
image483.png,trophy-cup,Trophy cup,Miscellaneous
image484.png,screen-split,Screen split,Miscellaneous
image485.png,chart-down,Chart down,Data & Analytics
image486.png,dashboard-grid,Dashboard grid,Data & Analytics
image487.png,expand-four,Expand four arrows,Arrows & Navigation
image488.png,layers-dotted,Layers dotted,Miscellaneous
image489.png,venn-diagram,Venn diagram,Data & Analytics
image490.png,arch-gauge,Arch gauge,Data & Analytics
image491.png,fork-knife,Fork and knife,Miscellaneous
image492.png,drink-cup,Drink cup,Miscellaneous
image494.png,org-tree,Org tree,People & Organization
image495.png,bicycle-recycle,Bicycle recycle,Miscellaneous
image496.png,dollar-down,Dollar down,Business & Finance
image497.png,euro-down,Euro down,Business & Finance
image498.png,coffee-cup,Coffee cup,Miscellaneous
image499.png,pepper-shaker,Pepper shaker,Miscellaneous
image500.png,fruit-bowl,Fruit bowl,Miscellaneous
image502.png,hamburger,Hamburger food,Miscellaneous
image504.png,broken-image,Image blocked,Miscellaneous
image506.png,coffee-bag,Coffee bag,Miscellaneous
image508.png,smoothie-cup,Smoothie cup,Miscellaneous
image509.png,node-distribute,Node distribute,Arrows & Navigation
image510.png,cycle-nodes,Cycle nodes,Arrows & Navigation
image512.png,login-check,Login check,Security
image513.png,bottle,Bottle drink,Miscellaneous
image514.png,moon-crescent,Moon crescent,Miscellaneous
image515.png,chili-pepper,Chili pepper,Miscellaneous
image516.png,noodle-bowl,Noodle bowl,Miscellaneous
image517.png,person-arrow,Person arrow,People & Organization
image518.png,donut,Donut food,Miscellaneous
image519.png,tea-cup,Tea cup,Miscellaneous
image523.png,soda-can,Soda can,Miscellaneous
image525.png,star-david,Star of David,Miscellaneous
image565.png,pie-chart-red,Pie chart red,Data & Analytics
image566.png,pie-chart-red-2,Pie chart red,Data & Analytics
image567.png,pie-chart-quarter,Pie chart quarter,Data & Analytics
image569.png,pie-chart-third,Pie chart third,Data & Analytics
image571.png,pie-chart-half-2,Pie chart half,Data & Analytics
image574.png,pie-chart-small,Pie chart small,Data & Analytics
image576.png,server-black-dotted,Server black dotted,Infrastructure
image579.png,moon-star,Moon star,Miscellaneous
image580.png,pie-chart-large,Pie chart large,Data & Analytics
image583.png,pie-chart-60,Pie chart sixty,Data & Analytics
image584.png,pie-chart-80,Pie chart eighty,Data & Analytics
image585.png,pie-chart-70,Pie chart seventy,Data & Analytics
image586.png,pie-chart-75,Pie chart seventy-five,Data & Analytics
image588.png,sparkle-chart,Sparkle chart,Data & Analytics
image589.png,pie-chart-underline,Pie chart underline,Data & Analytics
image590.png,cloud-mouse-black,Cloud mouse black,Cloud
image591.png,ethernet-port-black,Ethernet port black,Infrastructure
image593.png,circle-empty,Circle empty,Miscellaneous
image594.png,circle-half,Circle half,Miscellaneous
image595.png,rack-server-black,Rack server black,Infrastructure
image596.png,binary-cycle,Binary cycle,Development & DevOps
image597.png,cloud-black,Cloud black,Cloud
image600.png,container-cycle,Container cycle,Cloud
image602.png,circle-filled,Circle filled red,Miscellaneous
image604.png,lifecycle-arrows,Lifecycle arrows,Arrows & Navigation
image608.png,cloud-dotted-black,Cloud dotted black,Cloud
image609.png,ethernet-port-black-2,Ethernet port black,Infrastructure
image610.png,pod-kubernetes,Pod Kubernetes,Cloud
image613.png,ethernet-port-gray,Ethernet port gray,Infrastructure
